County,stateabbr,countyfips,BINGE_AdjPrev,AMI
Alameda,CA,06001,16.3,147900
Alpine,CA,06003,20.0,114600
Amador,CA,06005,19.9,101200
Butte,CA,06007,18.8,91600
Calaveras,CA,06009,19.3,96200
Colusa,CA,06011,17.9,83800
Contra Costa,CA,06013,16.5,147900
Del Norte,CA,06015,18.2,83800
El Dorado,CA,06017,20.4,113900
Fresno,CA,06019,14.5,83800
Glenn,CA,06021,17.8,83800
Humboldt,CA,06023,18.6,83800
Imperial,CA,06025,16.2,83800
Inyo,CA,06027,18.6,85400
Kern,CA,06029,16.7,83800
Kings,CA,06031,16.9,83800
Lake,CA,06033,18.0,83800
Lassen,CA,06035,19.2,83800
Los Angeles,CA,06037,15.7,98200
Madera,CA,06039,15.6,83800
Marin,CA,06041,18.9,175000
Mariposa,CA,06043,19.1,83800
Mendocino,CA,06045,18.4,89700
Merced,CA,06047,15.8,83800
Modoc,CA,06049,18.0,83800
Mono,CA,06051,19.0,95800
Monterey,CA,06053,17.1,100400
Napa,CA,06055,18.1,129600
Nevada,CA,06057,19.9,112500
Orange,CA,06059,16.1,127800
Placer,CA,06061,18.7,113900
Plumas,CA,06063,19.4,83800
Riverside,CA,06065,15.1,94500
Sacramento,CA,06067,14.9,113900
San Benito,CA,06069,17.6,140200
San Bernardino,CA,06071,15.7,94500
San Diego,CA,06073,17.2,116800
San Francisco,CA,06075,19.2,175000
San Joaquin,CA,06077,14.5,100300
San Luis Obispo,CA,06079,18.4,113100
San Mateo,CA,06081,16.0,175000
Santa Barbara,CA,06083,17.6,107300
Santa Clara,CA,06085,13.3,181300
Santa Cruz,CA,06087,18.9,132800
Shasta,CA,06089,19.6,89800
Sierra,CA,06091,18.6,90000
Siskiyou,CA,06093,18.8,83800
Solano,CA,06095,16.3,112600
Sonoma,CA,06097,17.8,128100
Stanislaus,CA,06099,17.5,92600
Sutter,CA,06101,15.6,83800
Tehama,CA,06103,17.7,83800
Trinity,CA,06105,18.5,83800
Tulare,CA,06107,16.1,83800
Tuolumne,CA,06109,19.5,97700
Ventura,CA,06111,17.1,123500
Yolo,CA,06113,17.1,114000
Yuba,CA,06115,16.8,83800
