County,AMI,ALI_1,ALI_2,ALI_3,ALI_4,ALI_5,ALI_6,ALI_7,ALI_8,ELI_1,ELI_2,ELI_3,ELI_4,ELI_5,ELI_6,ELI_7,ELI_8,VLI_1,VLI_2,VLI_3,VLI_4,VLI_5,VLI_6,VLI_7,VLI_8,LI_1,LI_2,LI_3,LI_4,LI_5,LI_6,LI_7,LI_8,MOD_1,MOD_2,MOD_3,MOD_4,MOD_5,MOD_6,MOD_7,MOD_8
Alameda,147900,15550,17750,20000,22200,24000,25750,27550,29300,31050,35500,39950,44350,47900,51450,55000,58550,51800,59200,66600,73950,79900,85800,91700,97650,78550,89750,100950,112150,121150,130100,139100,148050,124250,142000,159750,177500,191700,205900,220100,234300
Alpine,114600,12050,13750,15500,17200,18600,19950,21350,22700,20200,23100,26000,30000,35140,40280,45420,50560,33650,38450,43250,48050,51900,55750,59600,63450,53850,61550,69250,76900,83100,89250,95400,101550,96250,110000,123750,137500,148500,159500,170500,181500
Amador,101200,10650,12150,13700,15200,16400,17650,18850,20050,19250,22000,24860,30000,35140,40280,45420,50560,32100,36700,41300,45850,49550,53200,56900,60550,51350,58700,66050,73350,79250,85100,91000,96850,85000,97150,109300,121450,131150,140900,150600,160300
Butte,91600,9650,11000,12400,13750,14850,15950,17050,18150,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,76950,87900,98900,109900,118700,127500,136300,145050
Calaveras,96200,10100,11550,13000,14450,15600,16750,17900,19050,20050,22900,25750,30000,35140,40280,45420,50560,33400,38150,42900,47650,51500,55300,59100,62900,53400,61000,68650,76250,82350,88450,94550,100650,80800,92350,103900,115450,124700,133900,143150,152400
Colusa,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Contra Costa,147900,15550,17750,20000,22200,24000,25750,27550,29300,31050,35500,39950,44350,47900,51450,55000,58550,51800,59200,66600,73950,79900,85800,91700,97650,78550,89750,100950,112150,121150,130100,139100,148050,124250,142000,159750,177500,191700,205900,220100,234300
Del Norte,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
El Dorado,113900,11950,13700,15400,17100,18450,19850,21200,22550,22550,25750,28950,32150,35140,40280,45420,50560,37550,42900,48250,53600,57900,62200,66500,70800,60050,68600,77200,85750,92650,99500,106350,113200,95700,109350,123050,136700,147650,158550,169500,180450
Fresno,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Glenn,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Humboldt,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Imperial,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Inyo,85400,8950,10250,11500,12800,13800,14850,15850,16900,17950,20500,24860,30000,35140,40280,45420,50560,29900,34200,38450,42700,46150,49550,52950,56400,47850,54650,61500,68300,73800,79250,84700,90200,71750,82000,92250,102500,110700,118900,127100,135300
Kern,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Kings,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Lake,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Lassen,83800,8800,10050,11300,12550,13550,14550,15550,16550,17650,20150,24860,30000,35140,40280,45420,50560,29350,33550,37750,41900,45300,48650,52000,55350,46950,53650,60350,67050,72450,77800,83150,88550,70400,80450,90500,100550,108600,116650,124700,132750
Los Angeles,98200,10350,11800,13300,14750,15950,17100,18300,19450,26500,30300,34100,37850,40900,43950,46950,50560,44150,50450,56750,63050,68100,73150,78200,83250,70650,80750,90850,100900,109000,117050,125150,133200,82500,94300,106050,117850,127300,136700,146150,155550
Madera,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Marin,175000,18400,21000,23650,26250,28350,30450,32550,34650,39150,44750,50350,55900,60400,64850,69350,73800,65250,74600,83900,93200,100700,108150,115600,123050,104400,119300,134200,149100,161050,173000,184900,196850,147000,168000,189000,210000,226800,243600,260400,277200
Mariposa,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Mendocino,89700,9400,10750,12100,13450,14550,15600,16700,17750,17850,20400,24860,30000,35140,40280,45420,50560,29750,34000,38250,42500,45900,49300,52700,56100,47600,54400,61200,68000,73450,78900,84350,89800,75350,86100,96900,107650,116250,124850,133500,142100
Merced,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Modoc,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Mono,95800,10050,11500,12900,14350,15500,16650,17800,18950,17850,20400,24860,30000,35140,40280,45420,50560,29750,34000,38250,42500,45900,49300,52700,56100,47600,54400,61200,68000,73450,78900,84350,89800,80450,91950,103450,114950,124150,133350,142550,151750
